run_id,metric,country,provider,product,sampling_run_id,region,alpha2_code,metric_value,metric_value_lower,metric_value_upper,week,Run_Type,region_name,run_date_dynamic,run_date_string,year,date,incremental_column,Measurement
20250526-18365372,PSF,ZAF,Orbis,25220.000 ON,20220602-0001,{},za,92.2,90.1,94.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,ZAF,Orbis,25220.000 ON,20220602-0001,{},za,94.4,93.1,95.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,ZAF,Orbis,25220.000 ON,20220602-0001,{},za,83.7,81.8,85.6,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,ZAF,Orbis,25220.000 ON,20220602-0001,{},za,78.7,76.2,80.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,VNM,Orbis,25220.000 ON,20220602-0001,{},vn,73.7,70.4,76.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,VNM,Orbis,25220.000 ON,20220602-0001,{},vn,4.7,1.5,9.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,VNM,Orbis,25220.000 ON,20220602-0001,{},vn,89,84.6,93.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,VNM,Orbis,25220.000 ON,20220602-0001,{},vn,87.8,85.5,90.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,USA,Orbis,25220.000 ON,20220602-0001,{},us,99.5,99.1,99.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,USA,Orbis,25220.000 ON,20220602-0001,{},us,97.3,96.5,98.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,USA,Orbis,25220.000 ON,20220602-0001,{},us,96.1,95.4,96.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,USA,Orbis,25220.000 ON,20220602-0001,{},us,74.6,73,76.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,URY,Orbis,25220.000 ON,20220602-0001,{},uy,91.1,89.6,92.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,URY,Orbis,25220.000 ON,20220602-0001,{},uy,94.7,93.6,95.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,URY,Orbis,25220.000 ON,20220602-0001,{},uy,81.1,68.8,93.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,URY,Orbis,25220.000 ON,20220602-0001,{},uy,97.4,94.8,100,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,UKR,Orbis,25220.000 ON,20220602-0001,{},ua,75.6,72.8,78.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,UKR,Orbis,25220.000 ON,20220602-0001,{},ua,50.2,44.5,55.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,UKR,Orbis,25220.000 ON,20220602-0001,{},ua,94,92.7,95.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,UKR,Orbis,25220.000 ON,20220602-0001,{},ua,80.3,78.1,82.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,TWN,Orbis,25220.000 ON,20220602-0001,{},tw,93.5,91.5,95.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,TWN,Orbis,25220.000 ON,20220602-0001,{},tw,96.4,95.3,97.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,TWN,Orbis,25220.000 ON,20220602-0001,{},tw,82.1,79.8,84.3,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,TWN,Orbis,25220.000 ON,20220602-0001,{},tw,89.5,87.8,91.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,TUR,Orbis,25220.000 ON,20220602-0001,{},tr,96.6,95.7,97.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,TUR,Orbis,25220.000 ON,20220602-0001,{},tr,89.5,88.2,90.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,TUR,Orbis,25220.000 ON,20220602-0001,{},tr,80,78.1,81.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,TUR,Orbis,25220.000 ON,20220602-0001,{},tr,81.3,79.6,82.8,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,TUN,Orbis,25220.000 ON,20240109-0001,{},tn,90.7,84.1,97.7,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,TUN,Orbis,25220.000 ON,20240109-0001,{},tn,65.4,59.4,71.2,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,APA,TUN,Orbis,25220.000 ON,20240109-0001,{},tn,76.2,71.9,80.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,TUN,Orbis,25220.000 ON,20240109-0001,{},tn,64.2,60.3,68.1,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365372,PSF,THA,Orbis,25220.000 ON,20220602-0001,{},th,95.3,93.2,97.4,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365577,SSF,THA,Orbis,25220.000 ON,20220602-0001,{},th,73.5,71.3,75.5,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
20250526-18365215,ASF,THA,Orbis,25220.000 ON,20220602-0001,{},th,65.7,63.6,67.9,22,ON,country,20250526,,"2,025",26/05/25,"2,02,50,526",MAP
